time,speed,steering_angle,distance
1763123507.1194623,30,NaN,NaN
1763123507.123495,NaN,90,NaN
1763123507.1847417,NaN,NaN,-2
1763123507.8034327,NaN,NaN,-4
1763123508.329155,NaN,NaN,18
1763123508.9035926,NaN,NaN,-2
1763123509.5256343,NaN,NaN,-2
1763123510.0973442,NaN,NaN,4
1763123510.1110258,-30,NaN,NaN
1763123510.1149943,NaN,135,NaN
1763123510.6266022,NaN,NaN,6
1763123511.149333,NaN,NaN,10
1763123511.7214925,NaN,NaN,-2
1763123512.3426645,NaN,NaN,-2
1763123512.9502008,NaN,NaN,-4
1763123512.9717565,30,NaN,NaN
1763123512.9757154,NaN,90,NaN
1763123513.536653,NaN,NaN,-2
1763123514.157849,NaN,NaN,-2
1763123514.7332494,NaN,NaN,-4
1763123515.3543582,NaN,NaN,-2
1763123515.9753895,NaN,NaN,-2
1763123516.5957205,NaN,NaN,-2
1763123517.2166908,NaN,NaN,-2
1763123517.8376117,NaN,NaN,-2
1763123518.4503422,NaN,NaN,-4
1763123519.0713408,NaN,NaN,-2
1763123519.69229,NaN,NaN,-2
1763123520.3132424,NaN,NaN,-2
1763123520.9342809,NaN,NaN,-2
1763123521.5552597,NaN,NaN,-2
1763123522.1763594,NaN,NaN,-2
1763123522.7915907,NaN,NaN,-4
1763123523.4126158,NaN,NaN,-2
1763123523.9839604,NaN,NaN,0
1763123523.9973423,-30,NaN,NaN
1763123524.0014153,NaN,135,NaN
1763123524.5622933,NaN,NaN,-2
1763123525.183432,NaN,NaN,-2
1763123525.8045633,NaN,NaN,-2
1763123526.4256675,NaN,NaN,-2
1763123527.045745,NaN,NaN,-2
1763123527.6667147,NaN,NaN,-2
1763123528.2878304,NaN,NaN,-2
1763123528.9088159,NaN,NaN,-2
1763123529.521108,NaN,NaN,-2
1763123530.1423616,NaN,NaN,-2
1763123530.7472396,NaN,NaN,-4
1763123531.3683882,NaN,NaN,-2
1763123531.9893968,NaN,NaN,-2
1763123532.610383,NaN,NaN,-2
1763123533.237573,NaN,NaN,-2
1763123533.8365176,NaN,NaN,-4
1763123533.862723,30,NaN,NaN
1763123533.872567,NaN,90,NaN
1763123534.4335034,NaN,NaN,-2
1763123534.9861057,NaN,NaN,125
1763123535.5641608,NaN,NaN,113
1763123536.1427517,NaN,NaN,-2
1763123536.7637386,NaN,NaN,-2
